service_code,service_name,zone_label,country_codes,min_weight,max_weight,max_length,max_width,max_height,rate,currency,transit_days,domicile,international
101,DPD Classic,Domestic,DE,0.01,3.0,175,70,70,0.0,EUR,2,true,false
101,DPD Classic,Domestic,DE,3.0,5.0,175,70,70,0.0,EUR,2,true,false
101,DPD Classic,Domestic,DE,5.0,10.0,175,70,70,0.0,EUR,2,true,false
101,DPD Classic,Domestic,DE,10.0,20.0,175,70,70,0.0,EUR,2,true,false
101,DPD Classic,Domestic,DE,20.0,31.5,175,70,70,0.0,EUR,2,true,false
101,DPD Classic,Europe,"AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,GR,HU,IE,IT,LV,LT,LU,MT,NL,NO,PL,PT,RO,SK,SI,ES,SE,GB",0.01,3.0,175,70,70,0.0,EUR,3-5,false,true
101,DPD Classic,Europe,"AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,GR,HU,IE,IT,LV,LT,LU,MT,NL,NO,PL,PT,RO,SK,SI,ES,SE,GB",3.0,5.0,175,70,70,0.0,EUR,3-5,false,true
101,DPD Classic,Europe,"AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,GR,HU,IE,IT,LV,LT,LU,MT,NL,NO,PL,PT,RO,SK,SI,ES,SE,GB",5.0,10.0,175,70,70,0.0,EUR,3-5,false,true
101,DPD Classic,Europe,"AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,GR,HU,IE,IT,LV,LT,LU,MT,NL,NO,PL,PT,RO,SK,SI,ES,SE,GB",10.0,20.0,175,70,70,0.0,EUR,3-5,false,true
101,DPD Classic,Europe,"AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,GR,HU,IE,IT,LV,LT,LU,MT,NL,NO,PL,PT,RO,SK,SI,ES,SE,GB",20.0,31.5,175,70,70,0.0,EUR,3-5,false,true
136,DPD Classic Small,Domestic,DE,0.01,3.0,175,70,70,0.0,EUR,2,true,false
136,DPD Classic Small,Europe,"AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,GR,HU,IE,IT,LV,LT,LU,MT,NL,NO,PL,PT,RO,SK,SI,ES,SE,GB",0.01,3.0,175,70,70,0.0,EUR,3-5,false,true
327,DPD B2C Classic,Domestic,DE,0.01,3.0,175,70,70,0.0,EUR,2,true,false
327,DPD B2C Classic,Domestic,DE,3.0,5.0,175,70,70,0.0,EUR,2,true,false
327,DPD B2C Classic,Domestic,DE,5.0,10.0,175,70,70,0.0,EUR,2,true,false
327,DPD B2C Classic,Domestic,DE,10.0,20.0,175,70,70,0.0,EUR,2,true,false
327,DPD B2C Classic,Domestic,DE,20.0,31.5,175,70,70,0.0,EUR,2,true,false
